0x00,0x00,0x95,SonyTektroni
0x00,0x00,0x96,MarconiElect
0x00,0x00,0x97,DellEMC
0x00,0x00,0x98,Crosscomm
0x00,0x00,0x99,Mtx
0x00,0x00,0x9A,RcComputer
0x00,0x00,0x9B,InformationI
0x00,0x00,0x9C,RolmMilSpecC
0x00,0x00,0x9D,LocusComputi
0x00,0x00,0x9E,Marli
0x00,0x00,0x9F,AmeristarTec
0x00,0x00,0xA0,SANYOElectri
0x00,0x00,0xA1,MarquetteEle
0x00,0x00,0xA2,BayNetworks
0x00,0x00,0xA3,NetworkAppli
0x00,0x00,0xA4,AcornCompute
0x00,0x00,0xA5,Tattile
0x00,0x00,0xA6,NetworkGener
0x00,0x00,0xA7,NetworkCompu
0x00,0x00,0xA8,StratusTechn
0x00,0x00,0xA9,Network
0x00,0x00,0xAA,Xerox
0x00,0x00,0xAB,LogicModelin
0x00,0x00,0xAC,ConwareCompu
0x00,0x00,0xAD,BrukerInstru
0x00,0x00,0xAE,DassaultElec
0x00,0x00,0xAF,CanberraIndu
0x00,0x00,0xB0,RndRadNetwor
0x00,0x00,0xB1,AlphaMicro
0x00,0x00,0xB2,Televideo
0x00,0x00,0xB3,Cimlinc
0x00,0x00,0xB4,EdimaxTechno
0x00,0x00,0xB5,DatabilitySo
0x00,0x00,0xB6,MicroMaticRe
0x00,0x00,0xB7,DoveComputer
0x00,0x00,0xB8,Seikosha
0x00,0x00,0xB9,McdonnellDou
0x00,0x00,0xBA,Siig
0x00,0x00,0xBB,TriData
0x00,0x00,0xBC,RockwellAuto
0x00,0x00,0xBD,RYOSEI
0x00,0x00,0xBE,NtiGroup
0x00,0x00,0xBF,SymmetricCom
0x00,0x00,0xC0,WesternDigit
0x00,0x00,0xC1,Madge
0x00,0x00,0xC2,InformationP
0x00,0x00,0xC3,Harris
0x00,0x00,0xC4,WatersDivMil
0x00,0x00,0xC5,Commscope
0x00,0x00,0xC6,Eon
0x00,0x00,0xC7,Arix
0x00,0x00,0xC8,AltosCompute
0x00,0x00,0xC9,Emulex
0x00,0x00,0xCA,Commscope
0x00,0x00,0xCB,CompuShackEl
0x00,0x00,0xCC,Densan
0x00,0x00,0xCD,AlliedTelesi
0x00,0x00,0xCE,Megadata
0x00,0x00,0xCF,HayesMicroco
0x00,0x00,0xD0,DevelconElec
0x00,0x00,0xD1,Adaptec
0x00,0x00,0xD2,Sbe
0x00,0x00,0xD3,WangLaborato
0x00,0x00,0xD4,PureData
0x00,0x00,0xD5,MicrognosisI
0x00,0x00,0xD6,PunchLine
0x00,0x00,0xD7,DartmouthCol
0x00,0x00,0xD8,Novell
0x00,0x00,0xD9,NipponTelegr
0x00,0x00,0xDA,Atex
0x00,0x00,0xDB,BritishTelec
0x00,0x00,0xDC,HayesMicroco
0x00,0x00,0xDD,Tcl
0x00,0x00,0xDE,Cetia
0x00,0x00,0xDF,BellHowellPu
0x00,0x00,0xE0,Quadram
0x00,0x00,0xE1,Grid
0x00,0x00,0xE2,AcerTechnolo
0x00,0x00,0xE3,IntegratedMi
0x00,0x00,0xE4,In2GroupeInt
0x00,0x00,0xE5,Sigmex
0x00,0x00,0xE6,AptorProduit
0x00,0x00,0xE7,StarGateTech
0x00,0x00,0xE8,AcctonTechno
0x00,0x00,0xE9,Isicad
0x00,0x00,0xEA,Upnod
0x00,0x00,0xEB,MatsushitaCo
0x00,0x00,0xEC,Microprocess
0x00,0x00,0xED,April
0x00,0x00,0xEE,NetworkDesig
0x00,0x00,0xEF,Kti
0x00,0x00,0xF0,SamsungElect
0x00,0x00,0xF1,MagnaCompute
0x00,0x00,0xF2,SpiderCommun
0x00,0x00,0xF3,GandalfData
0x00,0x00,0xF4,AlliedTelesi
0x00,0x00,0xF5,DiamondSales
0x00,0x00,0xF6,AppliedMicro
0x00,0x00,0xF7,YouthKeepEnt
0x00,0x00,0xF8,DigitalEquip
0x00,0x00,0xF9,Quotron
0x00,0x00,0xFA,MicrosageCom
0x00,0x00,0xFB,RechnerZurKo
0x00,0x00,0xFC,Meiko
0x00,0x00,0xFD,HighLevelHar
0x00,0x00,0xFE,AnnapolisMic
0x00,0x00,0xFF,CamtecElectr
0x00,0x01,0x00,EquipTrans
0x00,0x01,0x01,Private
0x00,0x01,0x02,3Com
0x00,0x01,0x03,3Com
0x00,0x01,0x04,DVICO
0x00,0x01,0x05,BeckhoffAuto
0x00,0x01,0x06,TewsDatentec
0x00,0x01,0x07,Leiser
0x00,0x01,0x08,AVLABTechnol
0x00,0x01,0x09,NaganoJapanR
0x00,0x01,0x0A,CisTechnolog
0x00,0x01,0x0B,SpaceCyberLi
0x00,0x01,0x0C,SystemTalks
0x00,0x01,0x0D,TeledyneDALS
0x00,0x01,0x0E,BriLinkTechn
0x00,0x01,0x0F,BrocadeCommu
0x00,0x01,0x10,GothamNetwor
0x00,0x01,0x11,iDigm
0x00,0x01,0x12,SharkMultime
0x00,0x01,0x13,Olympus
0x00,0x01,0x14,KandaTsushin
0x00,0x01,0x15,Extratech
0x00,0x01,0x16,NetspectTech
0x00,0x01,0x17,Canal
0x00,0x01,0x18,EZDigital
0x00,0x01,0x19,RTUnet
0x00,0x01,0x1A,HoffmannundB
0x00,0x01,0x1B,UnizoneTechn
0x00,0x01,0x1C,UniversalTal
0x00,0x01,0x1D,CentilliumCo
0x00,0x01,0x1E,PrecidiaTech
0x00,0x01,0x1F,RCNetworks
0x00,0x01,0x20,Oscilloquart
0x00,0x01,0x21,WatchGuardTe
0x00,0x01,0x22,TrendCommuni
0x00,0x01,0x23,SchneiderEle
0x00,0x01,0x24,Acer
0x00,0x01,0x25,YaesuMusen
0x00,0x01,0x26,PACLabs
0x00,0x01,0x27,OPENNetworks
0x00,0x01,0x28,EnjoyWeb
0x00,0x01,0x29,DFI
0x00,0x01,0x2A,TelematicaSi
0x00,0x01,0x2B,TELENET
0x00,0x01,0x2C,AravoxTechno
0x00,0x01,0x2D,KomodoTechno
0x00,0x01,0x2E,PCPartner
0x00,0x01,0x2F,TwinheadInte
0x00,0x01,0x30,ExtremeNetwo
0x00,0x01,0x31,BoschSecurit
0x00,0x01,0x32,DranetzBMI
0x00,0x01,0x33,KYOWAElectro
0x00,0x01,0x34,Selectron
0x00,0x01,0x35,KDC
0x00,0x01,0x36,CyberTANTech
0x00,0x01,0x37,ITFarm
0x00,0x01,0x38,XAViTechnolo
0x00,0x01,0x39,PointMultime
0x00,0x01,0x3A,ShelcadCommu
0x00,0x01,0x3B,Bna
0x00,0x01,0x3C,Tiw
0x00,0x01,0x3D,RiscStation
0x00,0x01,0x3E,AscomTateco
0x00,0x01,0x3F,NeighborWorl
0x00,0x01,0x40,Sendtek
0x00,0x01,0x41,CablePrint
0x00,0x01,0x42,Cisco
